Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
Corey Kispert,23,WAS,SF,74.0,28.3,11.1,0.497,0.424,0.637,0.852,2.8,1.2,0.4,0.1
Jeremy Sochan,19,SAS,PF,56.0,26.0,11.0,0.453,0.246,0.519,0.698,5.3,2.5,0.8,0.4
Kentavious CaldwellPope,29,DEN,SG,76.0,31.3,10.8,0.462,0.423,0.502,0.824,2.7,2.4,1.5,0.5
Jaylen Nowell,23,MIN,SG,65.0,19.3,10.8,0.448,0.289,0.542,0.778,2.6,2.0,0.6,0.1
Ivica Zubac,25,LAC,C,76.0,28.6,10.8,0.634,0.0,0.637,0.697,9.9,1.0,0.4,1.3
Talen HortonTucker,22,UTA,SG,65.0,20.2,10.7,0.419,0.286,0.485,0.75,3.2,3.8,0.6,0.4
Victor Oladipo,30,MIA,SG,42.0,26.3,10.7,0.397,0.33,0.471,0.747,3.0,3.5,1.4,0.3
Cam Thomas,21,BRK,SG,57.0,16.6,10.6,0.441,0.383,0.464,0.868,1.7,1.4,0.4,0.1
Jeenathan Williams,23,POR,SG,5.0,25.4,10.6,0.615,0.375,0.677,0.667,3.0,2.0,0.6,0.4
Moritz Wagner,25,ORL,C,57.0,19.5,10.5,0.5,0.313,0.631,0.841,4.5,1.5,0.6,0.2
Grayson Allen,27,MIL,SG,72.0,27.4,10.4,0.44,0.399,0.518,0.905,3.3,2.3,0.9,0.2
Killian Hayes,21,DET,PG,76.0,28.3,10.3,0.377,0.28,0.429,0.821,2.9,6.2,1.4,0.4
Tyus Jones,26,MEM,PG,80.0,24.3,10.3,0.438,0.371,0.495,0.8,2.5,5.2,1.0,0.1
Monte Morris,27,WAS,PG,62.0,27.3,10.3,0.48,0.382,0.543,0.831,3.4,5.3,0.7,0.2
Cameron Payne,28,PHO,PG,48.0,20.2,10.3,0.415,0.368,0.448,0.766,2.2,4.5,0.7,0.2
Reggie Jackson,32,2TM,PG,68.0,24.4,10.2,0.411,0.333,0.474,0.91,2.1,3.4,0.7,0.1
Reggie Jackson,32,LAC,PG,52.0,25.7,10.9,0.418,0.35,0.469,0.924,2.2,3.5,0.7,0.1
Reggie Jackson,32,DEN,PG,16.0,19.9,7.9,0.383,0.279,0.5,0.833,1.8,3.1,0.6,0.1
Malaki Branham,19,SAS,SG,66.0,23.5,10.2,0.44,0.302,0.539,0.829,2.7,1.9,0.5,0.1
Doug McDermott,31,SAS,SF,64.0,20.5,10.2,0.457,0.413,0.516,0.757,2.2,1.4,0.2,0.1
Patrick Williams,21,CHI,PF,82.0,28.3,10.2,0.464,0.415,0.498,0.857,4.0,1.2,0.9,0.9
